行政區,類型,幼兒園,可招生名額,登記名額,錄取名額,招生簡章網址,-
七股區,3歲以上,三股國小附設幼兒園,34,4,4,https://pse.is/3cvepj,
七股區,3歲以上,竹橋國小附設幼兒園,13,6,6,https://reurl.cc/l028Nd,
七股區,3歲以上,後港國小附設幼兒園,5,7,5,https://pse.is/3d8d78,
下營區,3歲以上,下營國小附設幼兒園,30,13,13,https://pse.is/3ddl5r,
下營區,3歲以上,中營國小附設幼兒園,25,12,12,www.jyes.tn.edu.tw,
下營區,3歲以上,東興國小附設幼兒園,30,27,27,https://pse.is/3elu5j,
下營區,3歲以上,賀建國小附設幼兒園,25,6,6,https://pse.is/3cjvxw,
大內區,3歲以上,二溪國小附設幼兒園,20,7,7,https://reurl.cc/o93d7q,
大內區,3歲以上,大內國小附設幼兒園,26,20,20,http://www.dnes.tn.edu.tw,
山上區,3歲以上,山上國小附設幼兒園,20,25,20,https://pse.is/3cml8e,
中西區,2歲,臺南市立第一幼兒園,16,45,16,https://pse.is/3bk6q3,
中西區,3歲以上,中山國中附設幼兒園,4,1,1,https://tinyurl.com/yhhptg75,
中西區,3歲以上,成功國小附設幼兒園,30,30,30,https://pse.is/M3VLU,
中西區,3歲以上,協進國小附設幼兒園,114,103,101,https://pse.is/38wcxw,
中西區,3歲以上,忠義國小附設幼兒園,39,47,39,http://www.cies.tn.edu.tw/,
中西區,3歲以上,進學國小附設幼兒園,39,44,39,https://reurl.cc/OXerNy,
中西區,3歲以上,臺南市立第一幼兒園,53,44,44,https://pse.is/3bk6q3,
仁德區,2歲,臺南市立仁德幼兒園,16,73,16,http://rdkg.tn.edu.tw/,
仁德區,3歲以上,大甲國小附設幼兒園,13,4,4,https://pse.is/3cy5s5,
仁德區,3歲以上,仁和國小附設幼兒園,9,20,9,https://pse.is/3emaq7,
仁德區,3歲以上,文賢國小附設幼兒園,10,11,10,https://pse.is/3bvk7b,
仁德區,3歲以上,依仁國小附設幼兒園,12,13,12,https://pse.is/3djtrm,
仁德區,3歲以上,長興國小附設幼兒園,19,33,19,https://pse.is/3cjcmz,
仁德區,3歲以上,臺南市立仁德幼兒園,155,142,138,http://rdkg.tn.edu.tw/,
仁德區,3歲以上,德南國小附設幼兒園,45,30,30,https://pse.is/3ebqak,
六甲區,3歲以上,六甲國小附設幼兒園,66,31,31,https://pse.is/3djbch,
六甲區,3歲以上,林鳳國小附設幼兒園,5,11,5,https://pse.is/3cbgz6,
六甲區,3歲以上,嘉南國小附設幼兒園,16,8,8,https://pse.is/3ekjrk,
北門區,3歲以上,北門國小附設幼兒園,22,0,0,https://pse.is/3ebkzf,
北門區,3歲以上,蚵寮國小附設幼兒園,25,6,6,https://reurl.cc/Xeya63,
北門區,3歲以上,錦湖國小附設幼兒園,15,2,2,https://reurl.cc/zbE7yp,
北門區,3歲以上,雙春國小附設幼兒園,7,5,5,https://pse.is/3at7fg,
"北區 ",3歲以上,大光國小附設幼兒園,52,79,52,https://tinyurl.com/yfws8qmh,
"北區 ",3歲以上,大港國小附設幼兒園,48,69,48,https://pse.is/3cxsnz,
"北區 ",3歲以上,公園國小附設幼兒園,56,40,39,https://pse.is/3e969a,
"北區 ",3歲以上,文元國小附設幼兒園,22,41,22,https://reurl.cc/v58pXa,
"北區 ",3歲以上,立人國小附設幼兒園,62,86,62,https://pse.is/3cyk9m,
"北區 ",3歲以上,開元國小附設幼兒園,56,63,56,https://reurl.cc/jqOoon,
"北區 ",3歲以上,臺南市立小康幼兒園,27,30,26,https://pse.is/3cpjr7,
"北區 ",3歲以上,臺南市立小康幼兒園文元分班,11,7,7,https://pse.is/3cpjr7,
"北區 ",3歲以上,賢北國小附設幼兒園,21,22,21,https://pse.is/3cwqey,
左鎮區,3歲以上,左鎮國小附設幼兒園,8,4,4,https://pse.is/3b2enj,
左鎮區,3歲以上,光榮國小附設幼兒園,12,6,6,https://reurl.cc/Q7Oxy2,
永康區,3歲以上,三村國小附設幼兒園,24,47,24,https://reurl.cc/v58vNo,
永康區,3歲以上,大橋國小附設幼兒園,37,70,37,https://www.dcps.tn.edu.tw,
永康區,3歲以上,大灣國小附設幼兒園,45,61,45,https://pse.is/3d37jw,
永康區,3歲以上,五王國小附設幼兒園,26,34,26,https://www.wwes.tn.edu.tw/,
永康區,3歲以上,永信國小附設幼兒園,20,39,20,https://www.yuses.tn.edu.tw/,
永康區,3歲以上,永康國小附設幼兒園,74,129,74,https://ppt.cc/fViY9x,
永康區,3歲以上,永康勝利國小附設幼兒園,17,25,17,http://www.sles.tn.edu.tw/,
永康區,3歲以上,永康復興國小附設幼兒園,47,60,47,https://pse.is/3cw9wd,
永康區,3歲以上,西勢國小附設幼兒園,14,27,14,https://tinyurl.com/yzg5wdjd,
永康區,3歲以上,崑山國小附設幼兒園,85,60,57,https://reurl.cc/GdQQ9W,
永康區,3歲以上,龍潭國小附設幼兒園,55,64,55,https://reurl.cc/2bv6Er,
玉井區,3歲以上,玉井國小附設幼兒園,17,16,16,https://pse.is/3cychp,
玉井區,3歲以上,層林國小附設幼兒園,24,4,4,https://reurl.cc/qm3vEN,
白河區,3歲以上,大竹國小附設幼兒園,14,12,12,https://www.djps.tn.edu.tw/,
白河區,3歲以上,內角國小附設幼兒園,17,4,4,https://reurl.cc/YWojbl,
白河區,3歲以上,仙草國小附設幼兒園,6,5,5,https://pse.is/3cpun8,
白河區,3歲以上,玉豐國小附設幼兒園,11,4,4,https://www.bhyfes.tn.edu.tw/modules/tadnews/index.php?nsn=427,
白河區,3歲以上,白河國小附設幼兒園,19,28,19,https://www.bhes.tn.edu.tw/,
白河區,3歲以上,竹門國小附設幼兒園,22,3,3,https://reurl.cc/g83VgV,
白河區,3歲以上,河東國小附設幼兒園,11,10,10,http://www.hdps.tn.edu.tw/,
安平區,3歲以上,石門國小附設幼兒園,12,18,12,https://pse.is/3dk883,
安平區,3歲以上,安平國小附設幼兒園,33,45,33,https://reurl.cc/Xe9ZeE,
安平區,3歲以上,新南國小附設幼兒園,71,103,71,https://pse.is/3ddzem,
安平區,3歲以上,臺南市立第三幼兒園,32,17,16,https://tinyurl.com/yz4s8onb,
安平區,3歲以上,臺南市立第三幼兒園伍德分班,7,4,3,https://tinyurl.com/yz4s8onb,
安平區,3歲以上,億載國小附設幼兒園,38,75,38,https://pse.is/3dhx4f,
安定區,3歲以上,安定南興國小附設幼兒園,13,18,13,https://reurl.cc/Q7OEzo,
安定區,3歲以上,安定國小附設幼兒園,20,29,20,https://pse.is/3c2rw8,
安定區,3歲以上,南安國小附設幼兒園,22,25,22,https://reurl.cc/1gpXGm,
安南區,2歲,臺南市立第六幼兒園,16,15,15,https://pse.is/F2HHB,
安南區,2歲,臺南市立第四幼兒園大同分班,16,37,16,https://pse.is/3atpy4,
安南區,3歲以上,九份子國中小附設幼兒園,54,110,54,https://reurl.cc/7yYgDQ,
安南區,3歲以上,土城國小附設幼兒園,18,13,13,https://pse.is/3dqh6d,
安南區,3歲以上,安佃國小附設幼兒園,17,19,17,https://pse.is/3a6b3a,
安南區,3歲以上,安順國小附設幼兒園,73,63,59,https://pse.is/3c3fnw,
安南區,3歲以上,安慶國小附設幼兒園,50,73,50,https://tinyurl.com/yhogja2s,
安南區,3歲以上,和順國小附設幼兒園,50,54,50,https://pse.is/3b6jyf,
安南區,3歲以上,長安國小附設幼兒園,17,16,15,https://pse.is/3d8pbp,
安南區,3歲以上,青草國小附設幼兒園,11,10,10,https://reurl.cc/2bvae4,
安南區,3歲以上,南興國小附設幼兒園,11,16,11,https://tinyurl.com/yjs54tyu,
安南區,3歲以上,海佃國中附設幼兒園,15,32,15,https://reurl.cc/0Dya96,
安南區,3歲以上,海東國小附設幼兒園,63,81,63,https://pse.is/3drlgt,
安南區,3歲以上,臺南市立第五幼兒園,25,15,15,https://pse.is/3br9fu,
安南區,3歲以上,臺南市立第五幼兒園十二佃分班,13,9,9,https://pse.is/3br9fu,
安南區,3歲以上,臺南市立第五幼兒園淵西分班,9,10,9,https://pse.is/3br9fu,
安南區,3歲以上,臺南市立第六幼兒園,4,6,4,https://pse.is/F2HHB,
安南區,3歲以上,臺南市立第六幼兒園城南分班,14,6,6,https://pse.is/F2HHB,
安南區,3歲以上,臺南市立第六幼兒園砂崙分班,12,6,6,https://pse.is/F2HHB,
安南區,3歲以上,臺南市立第六幼兒園顯宮分班,15,4,4,https://pse.is/F2HHB,
安南區,3歲以上,臺南市立第四幼兒園,28,28,28,https://pse.is/3ajjv3,
安南區,3歲以上,臺南市立第四幼兒園大同分班,17,19,17,https://pse.is/3atpy4,
安南區,3歲以上,臺南市立第四幼兒園安順分班,30,47,30,https://pse.is/39skay,
安南區,3歲以上,臺南市立第四幼兒園安慶分班,10,9,8,https://reurl.cc/R68E0Z,
安南區,3歲以上,臺南市立第四幼兒園州南分班,10,11,10,https://pse.is/3e2dtq,
安南區,3歲以上,臺南市立第四幼兒園原佃分班,11,12,11,https://pse.is/3bdf8r,
安南區,3歲以上,臺南市立第四幼兒園頂安分班,12,21,12,https://pse.is/ECQ5Q,
安南區,3歲以上,臺南市立第四幼兒園總頭分班,14,8,8,https://pse.is/3df55d,
安南區,3歲以上,學東國小附設幼兒園,12,8,8,http://120.115.20.23/~htk116/,
安南區,3歲以上,鎮海國小附設幼兒園,16,14,14,https://pse.is/3c5gne,
安南區,3歲以上,顯宮國小附設幼兒園,13,9,9,https://reurl.cc/Dv8Eq5,
西港區,3歲以上,西港成功國小附設幼兒園,11,11,11,https://reurl.cc/e9AVdx,
西港區,3歲以上,西港國小附設幼兒園,18,22,18,https://reurl.cc/zbEKZa,
西港區,3歲以上,後營國小附設幼兒園,7,14,7,https://pse.is/3d52au,
西港區,3歲以上,港東國小附設幼兒園,10,23,10,https://reurl.cc/dVvQDD,
佳里區,3歲以上,子龍國小附設幼兒園,25,12,12,https://www.facebook.com/preschool.of.zihlong,
佳里區,3歲以上,仁愛國小附設幼兒園,18,21,18,https://pse.is/3d66yz,
佳里區,3歲以上,佳里國小附設幼兒園,29,43,29,https://reurl.cc/6yX9NO,
佳里區,3歲以上,佳興國小附設幼兒園,27,22,22,https://pse.is/3ds4jk,
佳里區,3歲以上,延平國小附設幼兒園,18,2,2,https://www.ypes.tn.edu.tw/modules/tadnews/index.php?nsn=419,
佳里區,3歲以上,信義國小附設幼兒園,19,25,19,https://pse.is/3cuvge,
佳里區,3歲以上,通興國小附設幼兒園,18,7,7,https://pse.is/3b77cr,
佳里區,3歲以上,塭內國小附設幼兒園,23,20,20,https://www.facebook.com/wneskid/,
官田區,3歲以上,官田國小附設幼兒園,12,14,12,https://pse.is/3b8w9a,
官田區,3歲以上,渡拔國小附設幼兒園,21,8,8,https://www.dbes.tn.edu.tw/,
官田區,3歲以上,隆田國小附設幼兒園,20,30,20,https://pse.is/3cpaq2,
東山區,3歲以上,吉貝耍國小附設幼兒園,21,5,5,https://www.dhes.tn.edu.tw/,
東山區,3歲以上,東山國小附設幼兒園,18,20,18,https://kids.doses.tn.edu.tw/,
東山區,3歲以上,東原國小附設幼兒園,18,4,4,https://pse.is/3b7qvz,
東山區,3歲以上,青山國小附設幼兒園,11,7,7,https://reurl.cc/qm3GQg,
東山區,3歲以上,聖賢國小附設幼兒園,17,3,3,https://pse.is/3c4cg8,
"東區 ",3歲以上,大同國小附設幼兒園,22,29,22,http://tteskids.blogspot.com/,
"東區 ",3歲以上,忠孝國中附設幼兒園,11,13,11,https://reurl.cc/WEVADD,
"東區 ",3歲以上,東光國小附設幼兒園,85,90,85,https://www.tkes.tn.edu.tw/,
"東區 ",3歲以上,崇明國小附設幼兒園,28,70,28,https://pse.is/3csgjt,
"東區 ",3歲以上,崇學國小附設幼兒園,36,59,36,https://reurl.cc/R6QYxe,
"東區 ",3歲以上,勝利國小附設幼兒園,19,35,19,https://reurl.cc/Xe9Zr3,
"東區 ",3歲以上,博愛國小附設幼兒園,32,28,27,https://reurl.cc/E2y2oA,
"東區 ",3歲以上,復興國小附設幼兒園,76,97,76,https://reurl.cc/nnynod,
"東區 ",3歲以上,臺南市立小康幼兒園小東分班,10,6,6,https://pse.is/3cpbz7,
"東區 ",3歲以上,德高國小附設幼兒園,18,35,18,https://reurl.cc/a5A7gY,
南化區,3歲以上,北寮國小附設幼兒園,18,9,9,https://pse.is/3cxqzz,
南化區,3歲以上,玉山國小附設幼兒園,26,2,2,http://www.ysps.tn.edu.tw/modules/tadnews/index.php?nsn=1149,
南化區,3歲以上,西埔國小附設幼兒園,29,1,1,https://pse.is/3e7una,
南化區,3歲以上,南化國小附設幼兒園,20,9,9,https://www.nhes.tn.edu.tw/modules/tadnews/index.php?nsn=753,
