行政區,類型,幼兒園,可招生名額,登記名額,錄取名額,招生簡章網址,-
永康區,2歲,永仁非營利幼兒園,30,61,0,https://pse.is/4v7rzz,
永康區,3歲以上,永仁非營利幼兒園,38,29,0,https://pse.is/4v7rzz,
安平區,2歲,市府員工子女非營利幼兒園,0,17,0,https://bit.ly/42qpWtg,
安平區,3歲以上,市府員工子女非營利幼兒園,0,16,0,https://bit.ly/42qpWtg,
安南區,2歲,中信員工子女非營利幼兒園,33,30,0,https://pse.is/4r7f9g,
安南區,2歲,崑山土城非營利幼兒園,16,28,0,https://reurl.cc/8qYW4y,
安南區,3歲以上,中信員工子女非營利幼兒園,8,14,0,https://pse.is/4r7f9g,
安南區,3歲以上,崑山土城非營利幼兒園,27,19,0,https://reurl.cc/8qYW4y,
"東區 ",2歲,成大員工子女非營利幼兒園,0,4,0,https://pse.is/4vgunj,
"東區 ",3歲以上,成大員工子女非營利幼兒園,0,9,0,https://pse.is/4vgunj,
"南區 ",3歲以上,水交社非營利幼兒園,24,55,0,https://pse.is/4v75mw,
"南區 ",3歲以上,擇仁非營利幼兒園,11,31,0,https://pse.is/4vbpw8,
新營區,2歲,南新非營利幼兒園,32,84,0,https://pse.is/4vdpcq,
新營區,3歲以上,南新非營利幼兒園,13,47,0,https://pse.is/4vdpcq,
麻豆區,2歲,西拉雅非營利幼兒園,14,42,0,https://pse.is/4tnq37,
麻豆區,3歲以上,西拉雅非營利幼兒園,13,34,0,https://pse.is/4tnq37,
