行政區,人口[3-4],登記名額,可招生名額,差額,登記佔人口比例,缺額佔登記比例
新營區,1084,172,344,172,0.16,0
鹽水區,303,73,177,104,0.24,0
白河區,285,52,108,56,0.18,0
柳營區,237,31,93,62,0.13,0
後壁區,210,46,107,61,0.22,0
東山區,230,46,116,70,0.2,0
麻豆區,569,169,240,71,0.3,0
下營區,266,47,108,61,0.18,0
六甲區,255,45,95,50,0.18,0
官田區,270,40,68,28,0.15,0
大內區,69,20,35,15,0.29,0
佳里區,832,130,247,117,0.16,0
學甲區,292,89,139,50,0.3,0
西港區,349,65,66,1,0.19,0
七股區,176,14,69,55,0.08,0
將軍區,195,41,113,72,0.21,0
北門區,98,4,51,47,0.04,0
新化區,577,107,185,78,0.19,0
善化區,1146,197,189,-8,0.17,0.04
新市區,688,112,231,119,0.16,0
安定區,451,45,75,30,0.1,0
山上區,85,13,10,-3,0.15,0.23
玉井區,146,12,38,26,0.08,0
楠西區,78,5,33,28,0.06,0
南化區,84,17,72,55,0.2,0
左鎮區,19,12,35,23,0.63,0
仁德區,1198,165,265,100,0.14,0
歸仁區,1118,131,184,53,0.12,0
關廟區,468,56,155,99,0.12,0
龍崎區,24,2,24,22,0.08,0
永康區,4127,413,558,145,0.1,0
東區,2589,326,352,26,0.13,0
南區,1541,144,238,94,0.09,0
北區,1947,297,355,58,0.15,0
安南區,3754,435,648,213,0.12,0
安平區,1122,221,186,-35,0.2,0.16
中西區,1050,168,304,136,0.16,0
